visit_date,day_of_week,visit_count,unique_customers,total_revenue,avg_revenue_per_visit
2022-06-15,3.0,6,4,40.0,6.67
2022-06-16,4.0,10,7,61.5,6.15
2022-06-17,5.0,6,4,34.5,5.75
2022-06-18,6.0,16,8,148.5,9.28
2022-06-19,0.0,11,8,77.5,7.05
2022-06-20,1.0,9,7,45.0,5.0
2022-06-21,2.0,5,4,12.0,2.4
2022-06-22,3.0,7,4,36.5,5.21
2022-06-23,4.0,8,6,84.0,10.5
2022-06-24,5.0,10,6,133.0,13.3
2022-06-25,6.0,14,7,132.5,9.46
2022-06-26,0.0,11,7,70.0,6.36
2022-06-27,1.0,6,4,20.0,3.33
2022-06-28,2.0,6,3,35.5,5.92
2022-06-29,3.0,6,5,65.0,10.83
2022-06-30,4.0,7,5,51.5,7.36
2022-07-01,5.0,7,5,49.5,7.07
2022-07-02,6.0,11,6,86.0,7.82
2022-07-03,0.0,12,9,88.0,7.33
2022-07-04,1.0,9,6,127.5,14.17
2022-07-05,2.0,5,4,65.5,13.1
2022-07-06,3.0,4,3,28.5,7.13
2022-07-07,4.0,9,8,122.5,13.61
2022-07-08,5.0,7,5,48.0,6.86
2022-07-09,6.0,12,8,125.0,10.42
2022-07-10,0.0,13,9,86.0,6.62
2022-07-11,1.0,8,5,30.5,3.81
2022-07-12,2.0,5,4,27.0,5.4
2022-07-13,3.0,10,7,98.5,9.85
2022-07-14,4.0,7,7,21.5,3.07
2022-07-15,5.0,7,5,19.5,2.79
2022-07-16,6.0,11,8,93.0,8.45
2022-07-17,0.0,12,8,163.0,13.58
2022-07-18,1.0,8,6,28.5,3.56
2022-07-19,2.0,8,6,4.0,0.5
2022-07-20,3.0,7,5,98.5,14.07
2022-07-21,4.0,5,4,10.0,2.0
2022-07-22,5.0,6,5,57.0,9.5
2022-07-23,6.0,11,7,85.5,7.77
2022-07-24,0.0,8,8,88.0,11.0
2022-07-25,1.0,5,5,33.5,6.7
2022-07-26,2.0,6,5,84.0,14.0
2022-07-27,3.0,6,6,22.5,3.75
2022-07-28,4.0,12,7,69.5,5.79
2022-07-29,5.0,9,7,55.5,6.17
2022-07-30,6.0,7,6,30.5,4.36
2022-07-31,0.0,4,3,34.0,8.5
2022-08-01,1.0,8,7,53.5,6.69
2022-08-02,2.0,6,4,70.5,11.75
2022-08-03,3.0,5,5,22.0,4.4
2022-08-04,4.0,10,9,72.5,7.25
2022-08-05,5.0,11,6,79.0,7.18
2022-08-06,6.0,13,8,120.5,9.27
2022-08-07,0.0,13,9,138.5,10.65
2022-08-08,1.0,9,8,56.5,6.28
2022-08-09,2.0,9,8,93.5,10.39
2022-08-10,3.0,6,6,85.0,14.17
2022-08-11,4.0,4,4,57.0,14.25
2022-08-12,5.0,8,7,55.0,6.88
2022-08-13,6.0,12,9,85.5,7.13
2022-08-14,0.0,7,6,28.5,4.07
2022-08-15,1.0,6,4,25.5,4.25
2022-08-16,2.0,6,5,40.5,6.75
2022-08-17,3.0,5,5,23.0,4.6
2022-08-18,4.0,8,6,49.5,6.19
2022-08-19,5.0,5,5,33.0,6.6
2022-08-20,6.0,9,7,125.5,13.94
2022-08-21,0.0,10,8,83.0,8.3
2022-08-22,1.0,3,3,12.0,4.0
2022-08-23,2.0,8,6,44.0,5.5
2022-08-24,3.0,6,5,50.0,8.33
2022-08-25,4.0,7,6,48.0,6.86
2022-08-26,5.0,8,5,44.5,5.56
2022-08-27,6.0,16,10,157.0,9.81
2022-08-28,0.0,7,7,57.0,8.14
2022-08-29,1.0,5,5,18.5,3.7
2022-08-30,2.0,8,6,55.5,6.94
2022-08-31,3.0,6,6,56.0,9.33
2022-09-01,4.0,14,9,212.0,15.14
2022-09-02,5.0,6,5,49.5,8.25
2022-09-03,6.0,9,6,100.5,11.17
2022-09-04,0.0,10,8,34.0,3.4
2022-09-05,1.0,11,9,99.5,9.05
2022-09-06,2.0,8,8,48.5,6.06
2022-09-07,3.0,12,9,73.5,6.13
2022-09-08,4.0,7,6,67.0,9.57
2022-09-09,5.0,10,9,84.0,8.4
2022-09-10,6.0,18,12,166.0,9.22
2022-09-11,0.0,10,6,99.0,9.9
2022-09-12,1.0,8,8,61.0,7.63
2022-09-13,2.0,9,6,63.0,7.0
2022-09-14,3.0,11,9,91.5,8.32
2022-09-15,4.0,10,8,93.5,9.35
2022-09-16,5.0,11,8,101.5,9.23
2022-09-17,6.0,24,15,181.5,7.56
2022-09-18,0.0,10,8,96.5,9.65
2022-09-19,1.0,8,6,54.5,6.81
2022-09-20,2.0,4,4,17.5,4.38
2022-09-21,3.0,8,6,38.5,4.81
2022-09-22,4.0,11,8,80.5,7.32
2022-09-23,5.0,12,9,78.0,6.5
2022-09-24,6.0,10,7,70.0,7.0
2022-09-25,0.0,12,10,87.5,7.29
2022-09-26,1.0,10,9,76.0,7.6
2022-09-27,2.0,7,5,58.5,8.36
2022-09-28,3.0,11,8,68.0,6.18
2022-09-29,4.0,11,9,68.5,6.23
2022-09-30,5.0,11,10,76.5,6.95
2022-10-01,6.0,13,10,82.0,6.31
2022-10-02,0.0,11,9,79.5,7.23
2022-10-03,1.0,8,7,34.5,4.31
2022-10-04,2.0,8,8,71.0,8.88
2022-10-05,3.0,10,9,52.0,5.2
2022-10-06,4.0,16,10,126.0,7.88
2022-10-07,5.0,9,6,70.5,7.83
2022-10-08,6.0,21,14,164.0,7.81
2022-10-09,0.0,21,10,153.5,7.31
2022-10-10,1.0,11,10,114.5,10.41
2022-10-11,2.0,12,11,118.0,9.83
2022-10-12,3.0,5,4,61.5,12.3
2022-10-13,4.0,9,8,72.0,8.0
2022-10-14,5.0,8,6,76.0,9.5
2022-10-15,6.0,14,11,121.0,8.64
2022-10-16,0.0,9,8,71.5,7.94
2022-10-17,1.0,11,9,82.0,7.45
2022-10-18,2.0,13,9,180.0,13.85
2022-10-19,3.0,6,6,24.0,4.0
2022-10-20,4.0,14,10,156.0,11.14
2022-10-21,5.0,9,5,60.5,6.72
2022-10-22,6.0,17,13,105.0,6.18
2022-10-23,0.0,18,13,76.5,4.25
2022-10-24,1.0,8,5,24.5,3.06
2022-10-25,2.0,11,10,145.0,13.18
2022-10-26,3.0,8,8,42.0,5.25
2022-10-27,4.0,10,8,79.5,7.95
2022-10-28,5.0,9,8,43.0,4.78
2022-10-29,6.0,27,12,168.0,6.22
2022-10-30,0.0,14,11,126.0,9.0
2022-10-31,1.0,13,10,106.0,8.15
2022-11-01,2.0,8,6,66.0,8.25
2022-11-02,3.0,10,7,58.0,5.8
2022-11-03,4.0,11,9,107.0,9.73
2022-11-04,5.0,10,8,50.0,5.0
2022-11-05,6.0,14,12,104.5,7.46
2022-11-06,0.0,11,9,100.5,9.14
2022-11-07,1.0,8,7,86.0,10.75
2022-11-08,2.0,10,9,119.5,11.95
2022-11-09,3.0,12,8,89.0,7.42
2022-11-10,4.0,7,7,39.0,5.57
2022-11-11,5.0,11,9,141.5,12.86
2022-11-12,6.0,16,11,110.0,6.88
2022-11-13,0.0,12,8,169.5,14.13
2022-11-14,1.0,9,6,107.0,11.89
2022-11-15,2.0,9,8,80.5,8.94
2022-11-16,3.0,8,8,16.0,2.0
2022-11-17,4.0,9,7,56.0,6.22
2022-11-18,5.0,11,10,74.0,6.73
2022-11-19,6.0,13,12,40.5,3.12
2022-11-20,0.0,13,10,96.0,7.38
2022-11-21,1.0,9,7,74.5,8.28
2022-11-22,2.0,9,7,80.5,8.94
2022-11-23,3.0,10,6,100.0,10.0
2022-11-24,4.0,8,7,64.5,8.06
2022-11-25,5.0,10,8,89.5,8.95
2022-11-26,6.0,20,14,137.0,6.85
