event_id,event_name,event_type,event_date,start_time,end_time,expected_attendance,actual_attendance,marketing_spend,revenue_impact,notes
1,Cat-Themed Trivia,Trivia Night,2022-06-02,18:00:00,20:00:00,30,25,17.58,,
2,Cat Yoga Session,Cat Yoga,2022-06-11,09:00:00,10:30:00,19,14,28.89,,
3,Quarterly Adoption Event,Adoption Drive,2022-06-18,10:00:00,16:00:00,49,46,275.95,,
4,Special Waffle Menu,Waffle Weekend,2022-06-25,08:00:00,14:00:00,40,43,70.59,,
5,Cat-Themed Trivia,Trivia Night,2022-07-07,18:00:00,20:00:00,23,21,37.04,,
6,Cat Yoga Session,Cat Yoga,2022-07-09,09:00:00,10:30:00,25,29,75.96,,
7,Family Cat Fun Day,Kids Day,2022-07-10,10:00:00,14:00:00,20,17,30.63,,
8,Special Waffle Menu,Waffle Weekend,2022-07-30,08:00:00,14:00:00,33,29,42.32,,
9,Cat-Themed Trivia,Trivia Night,2022-08-04,18:00:00,20:00:00,29,30,45.09,,
10,Cat Yoga Session,Cat Yoga,2022-08-13,09:00:00,10:30:00,19,22,24.8,,
11,Special Waffle Menu,Waffle Weekend,2022-08-27,08:00:00,14:00:00,24,21,53.48,,
12,Cat-Themed Trivia,Trivia Night,2022-09-01,18:00:00,20:00:00,22,23,43.39,,
13,Cat Yoga Session,Cat Yoga,2022-09-10,09:00:00,10:30:00,21,19,65.75,,
14,Quarterly Adoption Event,Adoption Drive,2022-09-17,10:00:00,16:00:00,33,42,250.34,,
15,Cat-Themed Trivia,Trivia Night,2022-10-06,18:00:00,20:00:00,18,14,25.04,,
16,Cat Yoga Session,Cat Yoga,2022-10-08,09:00:00,10:30:00,24,24,21.73,,
17,Family Cat Fun Day,Kids Day,2022-10-09,10:00:00,14:00:00,31,26,39.14,,
18,Special Waffle Menu,Waffle Weekend,2022-10-29,08:00:00,14:00:00,33,32,62.31,,
19,Halloween Costume Cat Party,Holiday Special,2022-10-31,14:00:00,18:00:00,24,22,76.28,,
20,Cat-Themed Trivia,Trivia Night,2022-11-03,18:00:00,20:00:00,29,30,28.65,,
21,Cat Yoga Session,Cat Yoga,2022-11-12,09:00:00,10:30:00,16,15,43.43,,
22,Special Waffle Menu,Waffle Weekend,2022-11-26,08:00:00,14:00:00,31,36,82.01,,
23,Cat-Themed Trivia,Trivia Night,2022-12-01,18:00:00,20:00:00,18,19,43.47,,
24,Cat Yoga Session,Cat Yoga,2022-12-10,09:00:00,10:30:00,21,10,45.3,,
25,Quarterly Adoption Event,Adoption Drive,2022-12-17,10:00:00,16:00:00,49,51,172.88,,
26,Holiday Cat-a-Palooza,Holiday Special,2022-12-20,10:00:00,17:00:00,36,39,199.01,,
27,Holiday Cat-a-Palooza,Holiday Special,2022-12-21,10:00:00,17:00:00,43,33,176.62,,
28,Holiday Cat-a-Palooza,Holiday Special,2022-12-22,10:00:00,17:00:00,29,26,60.28,,
29,Holiday Cat-a-Palooza,Holiday Special,2022-12-23,10:00:00,17:00:00,29,37,182.96,,
30,Special Waffle Menu,Waffle Weekend,2022-12-31,08:00:00,14:00:00,30,29,64.89,,
31,Cat-Themed Trivia,Trivia Night,2023-01-05,18:00:00,20:00:00,23,16,36.93,,
32,Family Cat Fun Day,Kids Day,2023-01-08,10:00:00,14:00:00,19,18,45.69,,
33,Cat Yoga Session,Cat Yoga,2023-01-14,09:00:00,10:30:00,20,17,49.67,,
34,Special Waffle Menu,Waffle Weekend,2023-01-28,08:00:00,14:00:00,32,30,99.27,,
35,Cat-Themed Trivia,Trivia Night,2023-02-02,18:00:00,20:00:00,26,20,34.37,,
36,Cat Yoga Session,Cat Yoga,2023-02-11,09:00:00,10:30:00,24,22,61.81,,
37,Valentine Paws & Lattes,Holiday Special,2023-02-14,10:00:00,18:00:00,35,40,113.79,,
38,Special Waffle Menu,Waffle Weekend,2023-02-25,08:00:00,14:00:00,26,27,92.67,,
39,Cat-Themed Trivia,Trivia Night,2023-03-02,18:00:00,20:00:00,25,25,38.6,,
40,Cat Yoga Session,Cat Yoga,2023-03-11,09:00:00,10:30:00,13,14,61.87,,
41,Quarterly Adoption Event,Adoption Drive,2023-03-18,10:00:00,16:00:00,34,27,167.36,,
42,Special Waffle Menu,Waffle Weekend,2023-03-25,08:00:00,14:00:00,37,42,34.55,,
43,Cat-Themed Trivia,Trivia Night,2023-04-06,18:00:00,20:00:00,25,16,25.32,,
44,Cat Yoga Session,Cat Yoga,2023-04-08,09:00:00,10:30:00,19,19,39.32,,
45,Family Cat Fun Day,Kids Day,2023-04-09,10:00:00,14:00:00,23,26,68.39,,
46,Special Waffle Menu,Waffle Weekend,2023-04-29,08:00:00,14:00:00,26,11,91.69,,
47,Cat-Themed Trivia,Trivia Night,2023-05-04,18:00:00,20:00:00,29,42,24.14,,
48,Cat Yoga Session,Cat Yoga,2023-05-13,09:00:00,10:30:00,22,24,68.35,,
49,Special Waffle Menu,Waffle Weekend,2023-05-27,08:00:00,14:00:00,38,37,93.3,,
50,Cat-Themed Trivia,Trivia Night,2023-06-01,18:00:00,20:00:00,22,11,46.51,,
51,Cat Yoga Session,Cat Yoga,2023-06-10,09:00:00,10:30:00,17,15,43.54,,
52,Quarterly Adoption Event,Adoption Drive,2023-06-17,10:00:00,16:00:00,35,20,205.44,,
53,Cat-Themed Trivia,Trivia Night,2023-07-06,18:00:00,20:00:00,19,26,23.84,,
54,Cat Yoga Session,Cat Yoga,2023-07-08,09:00:00,10:30:00,19,21,72.51,,
55,Family Cat Fun Day,Kids Day,2023-07-09,10:00:00,14:00:00,18,19,26.58,,
56,Special Waffle Menu,Waffle Weekend,2023-07-29,08:00:00,14:00:00,30,33,38.53,,
57,Cat-Themed Trivia,Trivia Night,2023-08-03,18:00:00,20:00:00,17,13,37.77,,
58,Cat Yoga Session,Cat Yoga,2023-08-12,09:00:00,10:30:00,19,11,26.68,,
59,Special Waffle Menu,Waffle Weekend,2023-08-26,08:00:00,14:00:00,27,30,73.13,,
60,Cat-Themed Trivia,Trivia Night,2023-09-07,18:00:00,20:00:00,34,31,44.25,,
61,Cat Yoga Session,Cat Yoga,2023-09-09,09:00:00,10:30:00,13,11,58.63,,
62,Quarterly Adoption Event,Adoption Drive,2023-09-16,10:00:00,16:00:00,46,57,132.1,,
63,Special Waffle Menu,Waffle Weekend,2023-09-30,08:00:00,14:00:00,26,27,60.12,,
64,Cat-Themed Trivia,Trivia Night,2023-10-05,18:00:00,20:00:00,35,33,43.92,,
65,Family Cat Fun Day,Kids Day,2023-10-08,10:00:00,14:00:00,19,19,55.78,,
66,Cat Yoga Session,Cat Yoga,2023-10-14,09:00:00,10:30:00,13,12,25.94,,
67,Special Waffle Menu,Waffle Weekend,2023-10-28,08:00:00,14:00:00,30,34,83.53,,
68,Halloween Costume Cat Party,Holiday Special,2023-10-31,14:00:00,18:00:00,28,19,99.42,,
69,Cat-Themed Trivia,Trivia Night,2023-11-02,18:00:00,20:00:00,24,29,39.72,,
70,Cat Yoga Session,Cat Yoga,2023-11-11,09:00:00,10:30:00,20,21,33.38,,
71,Special Waffle Menu,Waffle Weekend,2023-11-25,08:00:00,14:00:00,29,19,58.35,,
72,Cat-Themed Trivia,Trivia Night,2023-12-07,18:00:00,20:00:00,16,16,47.49,,
73,Cat Yoga Session,Cat Yoga,2023-12-09,09:00:00,10:30:00,22,23,56.24,,
74,Quarterly Adoption Event,Adoption Drive,2023-12-16,10:00:00,16:00:00,46,58,175.4,,
75,Holiday Cat-a-Palooza,Holiday Special,2023-12-20,10:00:00,17:00:00,31,19,157.15,,
76,Holiday Cat-a-Palooza,Holiday Special,2023-12-21,10:00:00,17:00:00,35,37,182.0,,
77,Holiday Cat-a-Palooza,Holiday Special,2023-12-22,10:00:00,17:00:00,42,42,138.39,,
78,Holiday Cat-a-Palooza,Holiday Special,2023-12-23,10:00:00,17:00:00,32,29,199.13,,
79,Special Waffle Menu,Waffle Weekend,2023-12-30,08:00:00,14:00:00,27,27,59.13,,
80,Cat-Themed Trivia,Trivia Night,2024-01-04,18:00:00,20:00:00,20,18,25.81,,
81,Cat Yoga Session,Cat Yoga,2024-01-13,09:00:00,10:30:00,13,15,60.09,,
82,Family Cat Fun Day,Kids Day,2024-01-14,10:00:00,14:00:00,23,16,72.79,,
83,Special Waffle Menu,Waffle Weekend,2024-01-27,08:00:00,14:00:00,32,32,36.45,,
84,Cat-Themed Trivia,Trivia Night,2024-02-01,18:00:00,20:00:00,22,26,24.63,,
85,Cat Yoga Session,Cat Yoga,2024-02-10,09:00:00,10:30:00,22,21,72.55,,
86,Valentine Paws & Lattes,Holiday Special,2024-02-14,10:00:00,18:00:00,45,58,110.44,,
87,Cat-Themed Trivia,Trivia Night,2024-03-07,18:00:00,20:00:00,34,45,30.28,,
88,Cat Yoga Session,Cat Yoga,2024-03-09,09:00:00,10:30:00,20,20,31.27,,
89,Quarterly Adoption Event,Adoption Drive,2024-03-16,10:00:00,16:00:00,40,47,206.63,,
90,Special Waffle Menu,Waffle Weekend,2024-03-30,08:00:00,14:00:00,38,50,55.89,,
91,Cat-Themed Trivia,Trivia Night,2024-04-04,18:00:00,20:00:00,24,25,31.64,,
92,Cat Yoga Session,Cat Yoga,2024-04-13,09:00:00,10:30:00,12,13,48.22,,
93,Family Cat Fun Day,Kids Day,2024-04-14,10:00:00,14:00:00,27,24,26.99,,
94,Special Waffle Menu,Waffle Weekend,2024-04-27,08:00:00,14:00:00,32,39,79.73,,
95,Cat-Themed Trivia,Trivia Night,2024-05-02,18:00:00,20:00:00,32,37,44.29,,
96,Cat Yoga Session,Cat Yoga,2024-05-11,09:00:00,10:30:00,16,14,57.31,,
97,Special Waffle Menu,Waffle Weekend,2024-05-25,08:00:00,14:00:00,39,34,46.02,,
98,Cat-Themed Trivia,Trivia Night,2024-06-06,18:00:00,20:00:00,29,32,31.44,,
99,Cat Yoga Session,Cat Yoga,2024-06-08,09:00:00,10:30:00,17,23,69.87,,
100,Quarterly Adoption Event,Adoption Drive,2024-06-15,10:00:00,16:00:00,32,30,212.82,,
101,Special Waffle Menu,Waffle Weekend,2024-06-29,08:00:00,14:00:00,39,35,63.7,,
102,Cat-Themed Trivia,Trivia Night,2024-07-04,18:00:00,20:00:00,18,12,30.1,,
103,Cat Yoga Session,Cat Yoga,2024-07-13,09:00:00,10:30:00,18,16,46.43,,
104,Family Cat Fun Day,Kids Day,2024-07-14,10:00:00,14:00:00,16,14,61.7,,
105,Special Waffle Menu,Waffle Weekend,2024-07-27,08:00:00,14:00:00,27,21,53.2,,
106,Cat-Themed Trivia,Trivia Night,2024-08-01,18:00:00,20:00:00,30,36,42.6,,
107,Cat Yoga Session,Cat Yoga,2024-08-10,09:00:00,10:30:00,18,18,50.47,,
108,Special Waffle Menu,Waffle Weekend,2024-08-31,08:00:00,14:00:00,37,40,55.92,,
109,Cat-Themed Trivia,Trivia Night,2024-09-05,18:00:00,20:00:00,22,26,26.3,,
110,Cat Yoga Session,Cat Yoga,2024-09-14,09:00:00,10:30:00,22,12,67.58,,
111,Quarterly Adoption Event,Adoption Drive,2024-09-21,10:00:00,16:00:00,55,57,139.57,,
112,Special Waffle Menu,Waffle Weekend,2024-09-28,08:00:00,14:00:00,32,29,30.84,,
113,Cat-Themed Trivia,Trivia Night,2024-10-03,18:00:00,20:00:00,22,24,39.91,,
114,Cat Yoga Session,Cat Yoga,2024-10-12,09:00:00,10:30:00,15,19,73.75,,
115,Family Cat Fun Day,Kids Day,2024-10-13,10:00:00,14:00:00,30,36,60.8,,
116,Special Waffle Menu,Waffle Weekend,2024-10-26,08:00:00,14:00:00,24,22,69.53,,
117,Halloween Costume Cat Party,Holiday Special,2024-10-31,14:00:00,18:00:00,24,19,79.86,,
118,Cat-Themed Trivia,Trivia Night,2024-11-07,18:00:00,20:00:00,23,22,34.85,,
119,Cat Yoga Session,Cat Yoga,2024-11-09,09:00:00,10:30:00,16,11,68.04,,
