survey_id,customer_id,visit_id,survey_date,overall_satisfaction,likelihood_recommend,cleanliness_rating,staff_rating,cat_experience,food_quality,comments
1,131,139,2022-06-02,3,4,5,6,3,7.0,Coffee was excellent.
2,161,152,2022-06-03,8,9,8,6,10,5.0,Wish there were more cats available.
3,213,164,2022-06-04,7,6,8,8,7,5.0,
4,219,167,2022-06-04,5,5,7,9,4,4.0,Best cat cafe in DC!
5,167,170,2022-06-04,8,9,9,10,9,8.0,Coffee was excellent.
6,64,176,2022-06-05,8,8,7,6,7,7.0,
7,157,184,2022-06-05,6,7,7,8,9,4.0,Loved the cats!
8,191,190,2022-06-05,5,5,7,8,6,6.0,
9,50,198,2022-06-06,7,7,8,8,8,8.0,Best cat cafe in DC!
10,35,206,2022-06-06,7,7,7,7,7,7.0,Wish there were more cats available.
11,29,218,2022-06-07,5,5,6,9,2,8.0,
12,212,220,2022-06-07,5,6,6,7,4,7.0,
13,104,232,2022-06-08,3,4,8,7,3,9.0,
14,35,241,2022-06-08,5,4,10,8,5,7.0,Cat yoga was amazing!
15,68,243,2022-06-08,7,7,8,7,7,6.0,
16,215,246,2022-06-09,5,5,7,7,7,8.0,
17,122,253,2022-06-09,5,5,6,7,6,5.0,Loved the cats!
18,114,258,2022-06-09,8,10,8,7,9,5.0,Loved the cats!
19,197,262,2022-06-10,9,9,8,7,7,5.0,The staff was so helpful.
20,8,265,2022-06-10,7,9,6,7,8,6.0,Best cat cafe in DC!
21,84,270,2022-06-10,6,7,9,7,6,8.0,Will definitely come back.
22,202,280,2022-06-11,5,6,7,9,6,7.0,
23,129,289,2022-06-11,6,7,7,8,9,6.0,Coffee was excellent.
24,78,295,2022-06-12,7,7,9,8,5,,My new favorite spot!
25,84,301,2022-06-12,5,5,7,6,5,7.0,Perfect rainy day activity.
26,34,305,2022-06-12,3,5,9,8,5,7.0,My new favorite spot!
27,112,309,2022-06-12,8,7,9,8,7,7.0,Cat yoga was amazing!
28,56,324,2022-06-13,7,8,9,8,8,8.0,
29,68,333,2022-06-14,6,5,8,8,7,7.0,Wish there were more cats available.
30,104,337,2022-06-14,5,6,7,7,5,6.0,Loved the cats!
31,186,338,2022-06-14,6,6,9,6,7,7.0,
32,149,347,2022-06-15,6,5,8,8,7,7.0,Would recommend to friends.
