operations_id,operation_date,menu_layout_version,yelp_underlying_rating,yelp_displayed_rating,notes
1,2022-06-01,,4.218,4.0,
2,2022-06-02,,4.203,4.0,
3,2022-06-03,,4.206,4.0,
4,2022-06-04,,4.217,4.0,
5,2022-06-05,,4.209,4.0,
6,2022-06-06,,4.212,4.0,
7,2022-06-07,,4.197,4.0,
8,2022-06-08,,4.2,4.0,
9,2022-06-09,,4.206,4.0,
10,2022-06-10,,4.205,4.0,
11,2022-06-11,,4.216,4.0,
12,2022-06-12,,4.218,4.0,
13,2022-06-13,,4.206,4.0,
14,2022-06-14,,4.23,4.0,
15,2022-06-15,,4.215,4.0,
16,2022-06-16,,4.206,4.0,
17,2022-06-17,,4.204,4.0,
18,2022-06-18,,4.21,4.0,
19,2022-06-19,,4.215,4.0,
20,2022-06-20,,4.182,4.0,
21,2022-06-21,,4.2,4.0,
22,2022-06-22,,4.211,4.0,
23,2022-06-23,,4.211,4.0,
24,2022-06-24,,4.203,4.0,
25,2022-06-25,,4.233,4.0,
26,2022-06-26,,4.225,4.0,
27,2022-06-27,,4.198,4.0,
28,2022-06-28,,4.207,4.0,
29,2022-06-29,,4.217,4.0,
30,2022-06-30,,4.23,4.0,
31,2022-07-01,,4.211,4.0,
32,2022-07-02,,4.203,4.0,
33,2022-07-03,,4.216,4.0,
34,2022-07-04,,4.204,4.0,
35,2022-07-05,,4.231,4.0,
36,2022-07-06,,4.209,4.0,
37,2022-07-07,,4.224,4.0,
38,2022-07-08,,4.202,4.0,
39,2022-07-09,,4.211,4.0,
40,2022-07-10,,4.209,4.0,
41,2022-07-11,,4.206,4.0,
42,2022-07-12,,4.212,4.0,
43,2022-07-13,,4.196,4.0,
44,2022-07-14,,4.216,4.0,
45,2022-07-15,,4.212,4.0,
46,2022-07-16,,4.238,4.0,
47,2022-07-17,,4.226,4.0,
48,2022-07-18,,4.229,4.0,
49,2022-07-19,,4.228,4.0,
50,2022-07-20,,4.216,4.0,
51,2022-07-21,,4.216,4.0,
52,2022-07-22,,4.223,4.0,
53,2022-07-23,,4.221,4.0,
54,2022-07-24,,4.222,4.0,
55,2022-07-25,,4.226,4.0,
56,2022-07-26,,4.234,4.0,
57,2022-07-27,,4.217,4.0,
58,2022-07-28,,4.219,4.0,
59,2022-07-29,,4.215,4.0,
60,2022-07-30,,4.233,4.0,
61,2022-07-31,,4.231,4.0,
62,2022-08-01,,4.236,4.0,
63,2022-08-02,,4.224,4.0,
64,2022-08-03,,4.235,4.0,
65,2022-08-04,,4.236,4.0,
66,2022-08-05,,4.223,4.0,
67,2022-08-06,,4.225,4.0,
68,2022-08-07,,4.231,4.0,
69,2022-08-08,,4.213,4.0,
70,2022-08-09,,4.252,4.5,
71,2022-08-10,,4.245,4.0,
72,2022-08-11,,4.235,4.0,
73,2022-08-12,,4.255,4.5,
74,2022-08-13,,4.234,4.0,
75,2022-08-14,,4.237,4.0,
76,2022-08-15,,4.225,4.0,
77,2022-08-16,,4.218,4.0,
78,2022-08-17,,4.217,4.0,
79,2022-08-18,,4.239,4.0,
80,2022-08-19,,4.245,4.0,
81,2022-08-20,,4.257,4.5,
82,2022-08-21,,4.213,4.0,
83,2022-08-22,,4.238,4.0,
84,2022-08-23,,4.208,4.0,
85,2022-08-24,,4.248,4.0,
86,2022-08-25,,4.247,4.0,
87,2022-08-26,,4.244,4.0,
88,2022-08-27,,4.231,4.0,
89,2022-08-28,,4.228,4.0,
90,2022-08-29,,4.23,4.0,
91,2022-08-30,,4.236,4.0,
92,2022-08-31,,4.235,4.0,
93,2022-09-01,,4.238,4.0,
94,2022-09-02,,4.225,4.0,
95,2022-09-03,,4.239,4.0,
96,2022-09-04,,4.24,4.0,
97,2022-09-05,,4.236,4.0,
98,2022-09-06,,4.227,4.0,
99,2022-09-07,,4.23,4.0,
100,2022-09-08,,4.25,4.0,
101,2022-09-09,,4.238,4.0,
102,2022-09-10,,4.24,4.0,
103,2022-09-11,,4.244,4.0,
104,2022-09-12,,4.26,4.5,
105,2022-09-13,,4.251,4.5,
106,2022-09-14,,4.258,4.5,
107,2022-09-15,,4.246,4.0,
108,2022-09-16,,4.263,4.5,
109,2022-09-17,,4.274,4.5,
110,2022-09-18,,4.239,4.0,
111,2022-09-19,,4.252,4.5,
112,2022-09-20,,4.254,4.5,
113,2022-09-21,,4.234,4.0,
114,2022-09-22,,4.256,4.5,
115,2022-09-23,,4.261,4.5,
116,2022-09-24,,4.238,4.0,
117,2022-09-25,,4.258,4.5,
118,2022-09-26,,4.266,4.5,
119,2022-09-27,,4.24,4.0,
120,2022-09-28,,4.263,4.5,
121,2022-09-29,,4.266,4.5,
122,2022-09-30,,4.253,4.5,
123,2022-10-01,,4.244,4.0,
124,2022-10-02,,4.255,4.5,
125,2022-10-03,,4.282,4.5,
126,2022-10-04,,4.269,4.5,
127,2022-10-05,,4.241,4.0,
128,2022-10-06,,4.26,4.5,
129,2022-10-07,,4.273,4.5,
130,2022-10-08,,4.266,4.5,
131,2022-10-09,,4.253,4.5,
132,2022-10-10,,4.256,4.5,
133,2022-10-11,,4.256,4.5,
134,2022-10-12,,4.265,4.5,
135,2022-10-13,,4.259,4.5,
136,2022-10-14,,4.259,4.5,
137,2022-10-15,,4.248,4.0,
138,2022-10-16,,4.227,4.0,
139,2022-10-17,,4.292,4.5,
140,2022-10-18,,4.273,4.5,
141,2022-10-19,,4.266,4.5,
142,2022-10-20,,4.277,4.5,
143,2022-10-21,,4.259,4.5,
144,2022-10-22,,4.266,4.5,
145,2022-10-23,,4.264,4.5,
146,2022-10-24,,4.257,4.5,
147,2022-10-25,,4.277,4.5,
148,2022-10-26,,4.268,4.5,
149,2022-10-27,,4.264,4.5,
150,2022-10-28,,4.288,4.5,
151,2022-10-29,,4.269,4.5,
152,2022-10-30,,4.262,4.5,
153,2022-10-31,,4.282,4.5,
154,2022-11-01,,4.262,4.5,
155,2022-11-02,,4.274,4.5,
156,2022-11-03,,4.287,4.5,
157,2022-11-04,,4.268,4.5,
158,2022-11-05,,4.261,4.5,
159,2022-11-06,,4.287,4.5,
160,2022-11-07,,4.242,4.0,
161,2022-11-08,,4.267,4.5,
162,2022-11-09,,4.271,4.5,
163,2022-11-10,,4.267,4.5,
164,2022-11-11,,4.282,4.5,
165,2022-11-12,,4.286,4.5,
166,2022-11-13,,4.258,4.5,
167,2022-11-14,,4.29,4.5,
168,2022-11-15,,4.278,4.5,
169,2022-11-16,,4.279,4.5,
170,2022-11-17,,4.277,4.5,
171,2022-11-18,,4.258,4.5,
172,2022-11-19,,4.273,4.5,
173,2022-11-20,,4.278,4.5,
174,2022-11-21,,4.274,4.5,
175,2022-11-22,,4.283,4.5,
176,2022-11-23,,4.295,4.5,
177,2022-11-24,,4.273,4.5,
178,2022-11-25,,4.295,4.5,
179,2022-11-26,,4.266,4.5,
180,2022-11-27,,4.272,4.5,
181,2022-11-28,,4.275,4.5,
182,2022-11-29,,4.275,4.5,
183,2022-11-30,,4.28,4.5,
184,2022-12-01,,4.301,4.5,
185,2022-12-02,,4.29,4.5,
186,2022-12-03,,4.275,4.5,
187,2022-12-04,,4.275,4.5,
188,2022-12-05,,4.289,4.5,
189,2022-12-06,,4.278,4.5,
190,2022-12-07,,4.294,4.5,
191,2022-12-08,,4.305,4.5,
192,2022-12-09,,4.287,4.5,
193,2022-12-10,,4.302,4.5,
194,2022-12-11,,4.287,4.5,
195,2022-12-12,,4.282,4.5,
196,2022-12-13,,4.275,4.5,
197,2022-12-14,,4.284,4.5,
198,2022-12-15,,4.296,4.5,
199,2022-12-16,,4.293,4.5,
200,2022-12-17,,4.293,4.5,
201,2022-12-18,,4.305,4.5,
202,2022-12-19,,4.284,4.5,
203,2022-12-20,,4.323,4.5,
204,2022-12-21,,4.28,4.5,
205,2022-12-22,,4.296,4.5,
206,2022-12-23,,4.3,4.5,
207,2022-12-24,,4.293,4.5,
208,2022-12-25,,4.293,4.5,
209,2022-12-26,,4.292,4.5,
210,2022-12-27,,4.294,4.5,
211,2022-12-28,,4.297,4.5,
212,2022-12-29,,4.29,4.5,
213,2022-12-30,,4.271,4.5,
214,2022-12-31,,4.295,4.5,
215,2023-01-01,,4.296,4.5,
216,2023-01-02,,4.327,4.5,
217,2023-01-03,,4.307,4.5,
218,2023-01-04,,4.302,4.5,
219,2023-01-05,,4.297,4.5,
220,2023-01-06,,4.291,4.5,
221,2023-01-07,,4.305,4.5,
222,2023-01-08,,4.295,4.5,
223,2023-01-09,,4.317,4.5,
224,2023-01-10,,4.316,4.5,
225,2023-01-11,,4.309,4.5,
226,2023-01-12,,4.304,4.5,
227,2023-01-13,,4.303,4.5,
228,2023-01-14,,4.299,4.5,
229,2023-01-15,,4.31,4.5,
230,2023-01-16,,4.303,4.5,
231,2023-01-17,,4.304,4.5,
232,2023-01-18,,4.315,4.5,
233,2023-01-19,,4.307,4.5,
234,2023-01-20,,4.318,4.5,
235,2023-01-21,,4.304,4.5,
236,2023-01-22,,4.314,4.5,
237,2023-01-23,,4.302,4.5,
238,2023-01-24,,4.302,4.5,
239,2023-01-25,,4.303,4.5,
240,2023-01-26,,4.317,4.5,
241,2023-01-27,,4.297,4.5,
242,2023-01-28,,4.317,4.5,
243,2023-01-29,,4.292,4.5,
244,2023-01-30,,4.315,4.5,
245,2023-01-31,,4.312,4.5,
246,2023-02-01,,4.302,4.5,
247,2023-02-02,,4.313,4.5,
248,2023-02-03,,4.318,4.5,
249,2023-02-04,,4.315,4.5,
250,2023-02-05,,4.323,4.5,
251,2023-02-06,,4.321,4.5,
252,2023-02-07,,4.32,4.5,
253,2023-02-08,,4.297,4.5,
254,2023-02-09,,4.322,4.5,
255,2023-02-10,,4.308,4.5,
256,2023-02-11,,4.31,4.5,
257,2023-02-12,,4.313,4.5,
258,2023-02-13,,4.303,4.5,
259,2023-02-14,,4.317,4.5,
260,2023-02-15,,4.308,4.5,
261,2023-02-16,,4.334,4.5,
262,2023-02-17,,4.305,4.5,
263,2023-02-18,,4.305,4.5,
264,2023-02-19,,4.328,4.5,
265,2023-02-20,,4.319,4.5,
266,2023-02-21,,4.324,4.5,
267,2023-02-22,,4.326,4.5,
268,2023-02-23,,4.346,4.5,
269,2023-02-24,,4.332,4.5,
270,2023-02-25,,4.321,4.5,
271,2023-02-26,,4.333,4.5,
272,2023-02-27,,4.334,4.5,
273,2023-02-28,,4.318,4.5,
274,2023-03-01,,4.316,4.5,
275,2023-03-02,,4.314,4.5,
276,2023-03-03,,4.313,4.5,
277,2023-03-04,,4.323,4.5,
278,2023-03-05,,4.322,4.5,
279,2023-03-06,,4.336,4.5,
280,2023-03-07,,4.337,4.5,
281,2023-03-08,,4.329,4.5,
282,2023-03-09,,4.322,4.5,
283,2023-03-10,,4.328,4.5,
284,2023-03-11,,4.332,4.5,
285,2023-03-12,,4.326,4.5,
286,2023-03-13,,4.342,4.5,
287,2023-03-14,,4.341,4.5,
288,2023-03-15,,4.328,4.5,
289,2023-03-16,,4.334,4.5,
290,2023-03-17,,4.34,4.5,
291,2023-03-18,,4.339,4.5,
292,2023-03-19,,4.339,4.5,
293,2023-03-20,,4.327,4.5,
294,2023-03-21,,4.327,4.5,
295,2023-03-22,,4.345,4.5,
296,2023-03-23,,4.335,4.5,
297,2023-03-24,,4.36,4.5,
298,2023-03-25,,4.349,4.5,
299,2023-03-26,,4.333,4.5,
300,2023-03-27,,4.345,4.5,
301,2023-03-28,,4.335,4.5,
302,2023-03-29,,4.345,4.5,
303,2023-03-30,,4.336,4.5,
304,2023-03-31,,4.346,4.5,
305,2023-04-01,,4.355,4.5,
306,2023-04-02,,4.336,4.5,
307,2023-04-03,,4.35,4.5,
308,2023-04-04,,4.338,4.5,
309,2023-04-05,,4.35,4.5,
310,2023-04-06,,4.359,4.5,
311,2023-04-07,,4.343,4.5,
312,2023-04-08,,4.334,4.5,
313,2023-04-09,,4.362,4.5,
314,2023-04-10,,4.354,4.5,
315,2023-04-11,,4.34,4.5,
316,2023-04-12,,4.347,4.5,
317,2023-04-13,,4.35,4.5,
318,2023-04-14,,4.339,4.5,
319,2023-04-15,,4.358,4.5,
320,2023-04-16,,4.335,4.5,
321,2023-04-17,,4.355,4.5,
322,2023-04-18,,4.363,4.5,
323,2023-04-19,,4.359,4.5,
324,2023-04-20,,4.357,4.5,
325,2023-04-21,,4.345,4.5,
326,2023-04-22,,4.363,4.5,
327,2023-04-23,,4.348,4.5,
328,2023-04-24,,4.351,4.5,
329,2023-04-25,,4.358,4.5,
330,2023-04-26,,4.355,4.5,
331,2023-04-27,,4.356,4.5,
332,2023-04-28,,4.361,4.5,
333,2023-04-29,,4.36,4.5,
334,2023-04-30,,4.356,4.5,
335,2023-05-01,,4.353,4.5,
336,2023-05-02,,4.348,4.5,
337,2023-05-03,,4.337,4.5,
338,2023-05-04,,4.356,4.5,
339,2023-05-05,,4.361,4.5,
340,2023-05-06,,4.362,4.5,
341,2023-05-07,,4.351,4.5,
342,2023-05-08,,4.341,4.5,
343,2023-05-09,,4.368,4.5,
344,2023-05-10,,4.348,4.5,
345,2023-05-11,,4.365,4.5,
346,2023-05-12,,4.364,4.5,
347,2023-05-13,,4.373,4.5,
348,2023-05-14,,4.366,4.5,
349,2023-05-15,,4.356,4.5,
350,2023-05-16,,4.354,4.5,
351,2023-05-17,,4.346,4.5,
352,2023-05-18,,4.353,4.5,
353,2023-05-19,,4.355,4.5,
354,2023-05-20,,4.377,4.5,
355,2023-05-21,,4.36,4.5,
356,2023-05-22,,4.383,4.5,
357,2023-05-23,,4.372,4.5,
358,2023-05-24,,4.371,4.5,
359,2023-05-25,,4.387,4.5,
360,2023-05-26,,4.372,4.5,
