interaction_id,visit_id,cat_id,type_id,duration_mins,staff_id,start_time,notes
1,1,1,1,30,2,14:15:00,Whiskers immediately went to Maya lap.
2,1,2,3,20,2,14:50:00,
3,2,1,1,25,2,14:45:00,
4,2,3,3,20,2,15:15:00,Mittens very relaxed.
5,3,1,2,25,2,10:15:00,Active play session.
6,4,4,1,30,2,13:15:00,Luna very social.
7,5,1,1,35,2,11:15:00,
8,6,1,2,20,3,14:15:00,
9,7,2,3,40,2,10:45:00,Long session with Shadow - bonding.
10,8,1,1,25,2,14:15:00,
11,8,4,2,30,2,14:45:00,
12,9,2,1,50,2,11:15:00,Shadow spent whole time in Aiden lap.
13,9,2,4,30,2,12:10:00,Brushing session - Shadow loved it.
14,10,4,3,25,3,13:15:00,
15,11,2,1,45,4,10:15:00,Final visit before adoption!
16,12,1,2,30,2,14:15:00,
17,13,1,1,35,3,11:15:00,
18,14,1,1,25,2,10:15:00,
19,14,3,3,20,2,10:45:00,
20,15,1,1,30,2,14:15:00,
21,15,5,4,25,2,14:50:00,Thor loves brushing!
22,16,4,1,35,3,11:15:00,
23,17,1,2,20,2,13:15:00,
24,18,6,2,40,2,15:15:00,Great play session with Mochi.
25,19,1,1,30,2,10:15:00,
26,20,8,3,25,3,14:15:00,Biscuit very friendly.
27,21,5,4,30,3,12:15:00,
28,22,1,1,30,2,10:15:00,
29,22,9,2,25,2,10:50:00,Cleo very active.
30,23,6,2,35,3,14:15:00,
31,24,1,1,30,2,11:15:00,
32,25,5,4,40,1,14:15:00,
33,26,8,1,30,3,14:15:00,
34,27,1,2,25,2,10:15:00,
35,28,10,2,35,3,14:15:00,Jasper loves interactive toys.
36,29,8,3,25,2,11:15:00,
37,30,1,1,30,1,13:15:00,
38,31,6,2,40,2,10:15:00,
39,32,11,1,50,3,15:15:00,Olive is so docile!
40,33,5,4,30,2,14:15:00,
41,34,1,2,25,1,11:15:00,
42,35,9,2,35,3,13:15:00,
43,36,10,2,40,2,10:15:00,
44,37,1,1,30,1,14:15:00,
45,38,8,3,25,2,11:15:00,
46,39,5,4,35,3,14:15:00,
47,40,11,1,40,2,10:15:00,
48,41,1,2,30,1,13:15:00,
49,42,10,2,35,3,15:30:00,Halloween themed play.
50,43,8,1,30,2,11:15:00,
51,44,9,3,25,1,14:15:00,
52,45,1,1,25,2,10:15:00,
53,46,5,4,30,3,13:15:00,
54,47,11,1,35,2,14:15:00,
55,48,1,2,25,1,11:15:00,
56,49,1,1,20,2,10:15:00,Quick visit.
57,50,12,3,30,3,14:15:00,Pumpkin very outgoing.
58,51,1,1,30,2,11:15:00,
59,52,10,2,35,1,13:15:00,
60,53,8,1,25,2,10:15:00,
61,54,13,3,40,3,14:15:00,Hazel adapting well.
62,55,5,4,30,2,15:15:00,
63,56,1,2,25,1,11:15:00,
64,57,12,2,35,3,14:15:00,
65,58,14,3,40,2,10:15:00,Maple warming up.
66,59,10,5,30,1,13:15:00,Photo session.
67,60,8,1,25,3,14:15:00,
68,61,1,1,30,2,11:15:00,
69,62,5,4,35,1,10:15:00,
70,63,12,2,30,3,14:15:00,
71,64,15,2,40,2,13:15:00,Finn is so playful!
72,65,1,5,25,1,11:15:00,Anniversary photos.
73,66,8,3,30,3,14:15:00,
74,67,12,1,45,2,13:15:00,Strong bond forming.
75,68,13,3,25,1,11:15:00,
76,69,10,2,35,3,14:15:00,
77,70,12,1,50,2,10:15:00,Adoption day for Pumpkin!
78,71,1,1,30,1,13:15:00,
79,72,16,3,25,3,14:15:00,Tourist enjoying experience.
80,73,5,4,35,2,11:15:00,
81,74,15,2,40,1,10:15:00,
82,75,14,1,30,3,14:15:00,
83,76,8,3,25,2,13:15:00,
84,77,17,3,30,1,11:15:00,
85,78,1,2,30,3,14:15:00,
86,79,17,5,45,2,10:15:00,Nugget photo session - adorable!
87,80,10,2,35,1,13:15:00,
88,81,8,1,25,3,14:15:00,
89,82,15,2,30,2,11:15:00,
90,83,5,4,35,1,10:15:00,
91,84,1,1,45,3,14:15:00,Halloween lap time marathon.
92,84,17,2,30,3,15:00:00,
93,85,13,3,25,2,13:15:00,
94,86,10,2,30,1,11:15:00,
95,87,14,1,35,3,14:15:00,
96,88,8,3,25,2,10:15:00,
97,89,1,1,30,1,13:15:00,
98,90,5,4,35,3,14:15:00,
99,91,15,2,40,2,11:15:00,Holiday play session.
100,92,17,5,30,1,10:15:00,Holiday photos.
101,93,1,2,25,3,14:15:00,
102,94,18,3,30,2,11:15:00,Pepper settling in well.
103,95,8,1,35,2,13:15:00,
104,96,1,1,30,1,14:15:00,
105,96,5,4,25,1,14:50:00,
