price_change_id,item_id,effective_date,old_price,new_price,reason
1,1,2023-07-01,5.5,5.78,Annual cost adjustment
2,2,2023-07-01,5.0,5.25,Annual cost adjustment
3,3,2023-07-01,4.5,4.73,Annual cost adjustment
4,4,2023-07-01,5.5,5.78,Annual cost adjustment
5,5,2023-07-01,6.0,6.3,Annual cost adjustment
6,8,2023-07-01,6.0,6.3,Annual cost adjustment
7,11,2023-07-01,5.5,5.78,Annual cost adjustment
8,1,2024-06-01,5.78,6.07,Inflation adjustment
9,2,2024-06-01,5.25,5.51,Inflation adjustment
10,3,2024-06-01,4.73,4.97,Inflation adjustment
11,4,2024-06-01,5.78,6.07,Inflation adjustment
12,5,2024-06-01,6.3,6.62,Inflation adjustment
13,8,2024-06-01,6.3,6.62,Inflation adjustment
14,11,2024-06-01,5.78,6.07,Inflation adjustment
15,12,2024-06-01,4.0,4.2,Inflation adjustment
16,13,2024-06-01,3.5,3.68,Inflation adjustment
17,16,2024-06-01,9.5,9.97,Inflation adjustment
18,17,2024-06-01,8.0,8.4,Inflation adjustment
19,18,2024-06-01,10.0,10.5,Inflation adjustment
