order_item_id,order_id,item_id,quantity,unit_price,line_total
1,1,1,1,5.5,5.5
2,1,13,1,3.5,3.5
3,1,14,1,3.0,3.0
4,2,16,1,9.5,9.5
5,3,1,2,5.5,11.0
6,4,1,1,5.5,5.5
7,5,8,1,6.0,6.0
8,5,9,1,4.0,4.0
9,6,5,1,6.0,6.0
10,6,12,1,4.0,4.0
11,6,15,1,4.5,4.5
12,7,21,1,25.0,25.0
13,8,2,1,5.0,5.0
14,8,13,1,3.5,3.5
15,9,1,1,5.5,5.5
16,9,8,1,6.0,6.0
17,10,16,1,9.5,9.5
18,11,7,1,6.5,6.5
19,11,12,2,4.0,8.0
20,11,15,1,4.5,4.5
21,12,11,1,5.5,5.5
22,12,18,1,10.0,10.0
23,13,3,1,4.5,4.5
24,13,16,1,9.5,9.5
25,14,1,1,5.5,5.5
26,14,13,1,3.5,3.5
27,15,5,2,6.0,12.0
28,15,22,1,8.0,8.0
29,16,7,1,6.5,6.5
30,16,17,1,8.0,8.0
31,17,22,1,8.0,8.0
32,18,21,1,25.0,25.0
33,18,23,1,15.0,15.0
34,19,21,1,25.0,25.0
35,19,22,2,8.0,16.0
36,19,24,1,18.0,18.0
37,20,22,1,8.0,8.0
38,21,1,1,5.5,5.5
39,21,15,1,4.5,4.5
40,22,7,2,6.5,13.0
41,22,19,1,7.0,7.0
42,23,1,1,5.5,5.5
43,23,18,1,10.0,10.0
44,24,16,1,9.5,9.5
45,25,19,1,7.0,7.0
46,25,5,1,6.0,7.25
47,26,12,1,4.0,5.06
48,27,12,1,4.0,4.0
49,28,19,1,7.0,7.0
50,29,20,1,8.0,8.97
51,30,15,2,4.5,10.25
52,31,8,1,6.0,7.25
53,32,4,1,5.5,5.5
54,32,13,1,3.5,3.5
55,33,25,1,20.0,20.0
56,34,16,1,9.5,9.5
57,35,14,2,3.0,7.25
58,36,15,1,4.5,4.5
59,36,17,1,8.0,8.0
60,36,20,1,8.0,9.25
61,37,20,1,8.0,8.0
62,38,2,1,5.0,6.25
63,39,18,1,10.0,10.0
64,40,12,1,4.0,5.83
65,41,17,1,8.0,8.0
66,41,17,1,8.0,8.0
67,42,13,1,3.5,3.5
68,43,4,1,5.5,5.5
69,44,1,1,5.5,6.75
70,45,21,1,25.0,25.0
71,45,3,1,4.5,4.5
72,45,17,2,8.0,16.0
73,46,10,1,4.0,4.97
74,47,20,1,8.0,8.0
75,47,20,1,8.0,8.0
76,47,18,1,10.0,10.0
77,47,16,1,9.5,9.5
78,47,10,1,4.0,4.0
79,48,15,1,4.5,5.75
80,49,11,1,5.5,5.5
81,50,20,1,8.0,9.06
82,51,13,1,3.5,3.5
83,51,12,1,4.0,4.0
84,51,13,1,3.5,3.5
85,52,8,1,6.0,6.0
86,52,13,1,3.5,3.5
87,52,20,1,8.0,8.0
88,53,15,2,4.5,9.0
89,54,11,2,5.5,12.25
90,55,14,1,3.0,3.0
91,56,11,1,5.5,5.5
92,57,20,1,8.0,8.97
93,58,15,1,4.5,4.5
94,59,8,1,6.0,7.25
95,60,4,2,5.5,11.0
96,61,22,1,8.0,8.0
97,62,5,2,6.0,12.85
98,63,17,1,8.0,8.85
99,64,14,1,3.0,3.0
100,65,15,2,4.5,10.25
101,66,1,1,5.5,6.75
102,67,20,1,8.0,9.25
103,68,2,1,5.0,5.0
104,69,4,1,5.5,6.75
105,70,14,1,3.0,3.0
106,71,9,1,4.0,4.0
107,72,18,2,10.0,20.0
108,73,16,1,9.5,10.75
109,74,16,2,9.5,19.0
110,74,3,1,4.5,4.5
111,74,6,1,3.5,4.75
112,75,12,1,4.0,4.0
113,75,17,2,8.0,16.0
114,76,13,1,3.5,3.5
115,77,21,1,25.0,25.0
116,78,20,1,8.0,8.0
117,78,5,1,6.0,6.0
118,78,20,1,8.0,8.97
119,79,12,1,4.0,4.0
120,79,25,1,20.0,20.0
121,79,18,1,10.0,10.0
122,79,4,1,5.5,5.5
123,79,15,1,4.5,5.47
124,80,15,2,4.5,10.06
125,81,20,1,8.0,9.25
126,82,11,1,5.5,5.5
127,83,19,2,7.0,14.0
128,84,4,1,5.5,6.47
129,85,12,1,4.0,4.0
130,85,14,1,3.0,4.25
131,86,17,2,8.0,16.0
132,87,18,2,10.0,20.0
133,87,2,2,5.0,10.0
134,87,18,1,10.0,11.25
135,88,8,1,6.0,6.0
136,88,12,2,4.0,8.0
137,89,1,2,5.5,11.0
138,90,5,1,6.0,7.06
139,91,8,1,6.0,6.0
140,91,20,1,8.0,8.0
141,91,5,1,6.0,6.0
142,91,9,1,4.0,4.0
143,91,4,1,5.5,6.75
144,92,1,1,5.5,5.5
145,93,6,1,3.5,4.47
146,94,11,1,5.5,5.5
147,94,15,1,4.5,4.5
148,95,20,2,8.0,16.0
149,96,17,1,8.0,8.0
150,97,19,1,7.0,8.25
151,98,13,1,3.5,3.5
152,99,4,1,5.5,5.5
153,100,18,2,10.0,21.83
154,101,3,1,4.5,4.5
155,102,3,1,4.5,4.5
156,103,14,1,3.0,3.0
157,104,20,1,8.0,8.0
