order_id,customer_id,visit_id,staff_id,order_datetime,subtotal,tax,total,payment_method
1,1,1,3,2022-06-15 14:30:00,12.0,0.72,12.72,credit
2,1,3,3,2022-06-22 10:30:00,9.5,0.57,10.07,credit
3,3,4,3,2022-08-20 13:30:00,11.0,0.66,11.66,credit
4,1,5,3,2022-09-10 11:30:00,5.5,0.33,5.83,mobile
5,2,6,3,2022-09-17 14:30:00,10.0,0.6,10.6,debit
6,1,8,3,2022-10-15 14:30:00,14.5,0.87,15.37,credit
7,5,18,5,2023-02-14 15:30:00,25.0,1.5,26.5,credit
8,6,23,3,2023-04-01 14:30:00,8.5,0.51,9.01,mobile
9,5,24,3,2023-04-08 11:00:00,11.5,0.69,12.19,credit
10,1,25,3,2023-04-15 13:30:00,9.5,0.57,10.07,mobile
11,12,34,3,2023-07-22 15:30:00,19.0,1.14,20.14,debit
12,8,37,3,2023-09-02 13:30:00,15.5,0.93,16.43,credit
13,5,42,3,2023-10-14 10:30:00,14.0,0.84,14.84,mobile
14,1,52,3,2024-01-20 11:30:00,9.0,0.54,9.54,mobile
15,5,55,3,2024-02-10 14:30:00,20.0,1.2,21.2,credit
16,9,59,3,2024-03-16 11:30:00,14.5,0.87,15.37,credit
17,10,69,3,2024-05-25 13:30:00,8.0,0.48,8.48,debit
18,1,72,1,2024-06-15 10:30:00,40.0,2.4,42.4,credit
19,15,77,3,2024-07-20 11:30:00,59.0,3.54,62.54,credit
20,10,86,3,2024-09-21 11:30:00,8.0,0.48,8.48,mobile
21,1,91,3,2024-10-26 15:00:00,10.0,0.6,10.6,mobile
22,5,98,3,2024-12-14 12:00:00,20.0,1.2,21.2,credit
23,19,101,5,2025-01-04 11:30:00,15.5,0.93,16.43,credit
24,1,103,3,2025-01-11 14:30:00,9.5,0.57,10.07,mobile
25,2,107,5,2022-06-15 16:59:00,14.25,0.85,15.1,mobile
26,4,108,13,2022-06-15 10:36:00,5.06,0.3,5.36,mobile
27,1,109,5,2022-06-15 11:59:00,4.0,0.24,4.24,mobile
28,6,110,2,2022-06-15 12:51:00,7.0,0.42,7.42,mobile
29,8,111,4,2022-06-16 14:28:00,8.97,0.54,9.51,credit
30,2,114,10,2022-06-16 12:38:00,10.25,0.61,10.86,credit
31,2,115,2,2022-06-16 09:58:00,7.25,0.43,7.68,debit
32,3,116,11,2022-06-16 14:41:00,9.0,0.54,9.54,credit
33,11,119,13,2022-06-16 09:17:00,20.0,1.2,21.2,credit
34,1,120,4,2022-06-16 10:54:00,9.5,0.57,10.07,mobile
35,2,121,11,2022-06-17 12:59:00,7.25,0.43,7.68,debit
36,2,124,3,2022-06-17 11:59:00,21.75,1.3,23.05,credit
37,3,125,4,2022-06-17 13:46:00,8.0,0.48,8.48,mobile
38,2,127,5,2022-06-18 15:35:00,6.25,0.38,6.63,mobile
39,6,130,5,2022-06-18 10:29:00,10.0,0.6,10.6,credit
40,14,132,5,2022-06-18 15:59:00,5.83,0.35,6.18,mobile
41,7,133,12,2022-06-18 10:43:00,16.0,0.96,16.96,mobile
42,1,134,13,2022-06-18 14:59:00,3.5,0.21,3.71,debit
43,1,135,12,2022-06-18 14:29:00,5.5,0.33,5.83,debit
44,2,136,13,2022-06-18 13:55:00,6.75,0.4,7.15,mobile
45,1,137,10,2022-06-18 09:15:00,45.5,2.73,48.23,credit
46,8,138,6,2022-06-18 12:40:00,4.97,0.3,5.27,credit
47,5,139,4,2022-06-18 12:40:00,39.5,2.37,41.87,credit
48,2,140,11,2022-06-18 09:28:00,5.75,0.34,6.09,credit
49,5,141,14,2022-06-18 10:56:00,5.5,0.33,5.83,mobile
50,4,143,5,2022-06-19 14:59:00,9.06,0.54,9.6,credit
51,1,144,12,2022-06-19 16:31:00,11.0,0.66,11.66,credit
52,1,145,11,2022-06-19 15:27:00,17.5,1.05,18.55,credit
53,11,147,2,2022-06-19 11:37:00,9.0,0.54,9.54,debit
54,2,149,3,2022-06-19 15:26:00,12.25,0.73,12.98,mobile
55,1,150,13,2022-06-19 13:43:00,3.0,0.18,3.18,mobile
56,13,151,13,2022-06-19 09:13:00,5.5,0.33,5.83,debit
57,8,152,11,2022-06-19 15:46:00,8.97,0.54,9.51,credit
58,1,153,4,2022-06-19 11:55:00,4.5,0.27,4.77,credit
59,2,154,3,2022-06-20 15:52:00,7.25,0.43,7.68,credit
60,5,156,3,2022-06-20 09:47:00,11.0,0.66,11.66,debit
61,15,158,12,2022-06-20 15:30:00,8.0,0.48,8.48,credit
62,10,159,7,2022-06-20 12:33:00,12.85,0.77,13.62,mobile
63,10,161,1,2022-06-20 15:17:00,8.85,0.53,9.38,credit
64,6,163,5,2022-06-21 12:28:00,3.0,0.18,3.18,debit
65,2,164,11,2022-06-21 13:51:00,10.25,0.61,10.86,mobile
66,2,168,4,2022-06-22 10:57:00,6.75,0.4,7.15,credit
67,2,169,6,2022-06-22 12:59:00,9.25,0.55,9.8,debit
68,5,171,12,2022-06-22 13:44:00,5.0,0.3,5.3,credit
69,2,172,3,2022-06-22 15:45:00,6.75,0.4,7.15,credit
70,1,173,10,2022-06-22 09:28:00,3.0,0.18,3.18,mobile
71,1,175,10,2022-06-23 15:35:00,4.0,0.24,4.24,credit
72,11,177,13,2022-06-23 11:45:00,20.0,1.2,21.2,credit
73,2,178,11,2022-06-23 11:14:00,10.75,0.65,11.4,credit
74,2,179,13,2022-06-23 16:54:00,28.25,1.69,29.94,mobile
75,1,180,14,2022-06-23 09:59:00,20.0,1.2,21.2,debit
76,7,181,2,2022-06-23 16:44:00,3.5,0.21,3.71,mobile
77,6,183,6,2022-06-24 09:13:00,25.0,1.5,26.5,credit
78,8,185,3,2022-06-24 09:43:00,22.97,1.38,24.35,credit
79,8,186,12,2022-06-24 16:38:00,44.97,2.7,47.67,debit
80,4,187,13,2022-06-24 16:52:00,10.06,0.6,10.66,credit
81,2,188,2,2022-06-24 11:41:00,9.25,0.55,9.8,mobile
82,6,189,3,2022-06-24 16:17:00,5.5,0.33,5.83,mobile
83,5,190,12,2022-06-24 15:20:00,14.0,0.84,14.84,mobile
84,8,191,11,2022-06-24 13:16:00,6.47,0.39,6.86,credit
85,2,192,13,2022-06-25 10:59:00,8.25,0.49,8.74,credit
86,3,195,14,2022-06-25 12:23:00,16.0,0.96,16.96,debit
87,2,196,2,2022-06-25 10:44:00,41.25,2.48,43.73,mobile
88,6,198,5,2022-06-25 11:37:00,14.0,0.84,14.84,debit
89,1,200,11,2022-06-25 10:59:00,11.0,0.66,11.66,debit
90,4,202,4,2022-06-25 10:10:00,7.06,0.42,7.48,mobile
91,2,203,3,2022-06-25 15:43:00,30.75,1.84,32.59,mobile
92,6,204,10,2022-06-25 14:51:00,5.5,0.33,5.83,credit
93,8,205,1,2022-06-25 15:28:00,4.47,0.27,4.74,credit
94,9,206,14,2022-06-26 09:28:00,10.0,0.6,10.6,credit
95,3,207,2,2022-06-26 16:30:00,16.0,0.96,16.96,credit
96,3,209,4,2022-06-26 16:58:00,8.0,0.48,8.48,credit
97,2,213,11,2022-06-26 11:59:00,8.25,0.49,8.74,credit
98,1,214,4,2022-06-26 13:59:00,3.5,0.21,3.71,debit
99,3,215,2,2022-06-26 11:59:00,5.5,0.33,5.83,mobile
100,14,216,14,2022-06-26 10:38:00,21.83,1.31,23.14,mobile
101,1,217,7,2022-06-27 12:57:00,4.5,0.27,4.77,mobile
102,5,219,4,2022-06-27 14:28:00,4.5,0.27,4.77,credit
103,1,220,10,2022-06-27 11:43:00,3.0,0.18,3.18,credit
104,5,222,7,2022-06-27 12:49:00,8.0,0.48,8.48,credit
