visit_id,customer_id,visit_date,check_in_time,check_out_time,staff_id,cover_charge,discount_applied,notes
1,1,2022-06-15,14:00:00,15:30:00,1,15.0,6.0,Grand opening day! Maya was first customer.
2,2,2022-06-15,14:30:00,16:00:00,1,15.0,6.0,Grand opening day.
3,1,2022-06-22,10:00:00,11:30:00,2,15.0,6.0,
4,3,2022-08-20,13:00:00,14:30:00,3,15.0,3.75,First visit after joining as premium member.
5,1,2022-09-10,11:00:00,12:30:00,2,15.0,6.0,
6,2,2022-09-17,14:00:00,15:00:00,3,15.0,6.0,
7,4,2022-10-08,10:30:00,12:00:00,2,15.0,3.75,Interested in Shadow.
8,1,2022-10-15,14:00:00,16:00:00,1,15.0,6.0,Brought a friend.
9,4,2022-10-29,11:00:00,13:00:00,2,15.0,3.75,Long visit with Shadow.
10,3,2022-11-05,13:00:00,14:00:00,3,15.0,3.75,
11,4,2022-11-12,10:00:00,12:00:00,4,15.0,3.75,Completed adoption paperwork for Shadow!
12,1,2022-11-19,14:00:00,15:30:00,2,15.0,6.0,
13,2,2022-12-03,11:00:00,12:30:00,3,15.0,6.0,
14,1,2022-12-17,10:00:00,11:30:00,1,15.0,6.0,Holiday visit.
15,1,2023-01-07,14:00:00,15:30:00,2,15.0,6.0,New year visit.
16,3,2023-01-14,11:00:00,12:30:00,3,15.0,3.75,
17,2,2023-01-21,13:00:00,14:30:00,2,15.0,6.0,
18,5,2023-02-14,15:00:00,17:00:00,1,15.0,3.75,Valentine Day date! Joined as premium.
19,1,2023-02-18,10:00:00,11:30:00,2,15.0,6.0,
20,3,2023-02-25,14:00:00,15:30:00,3,15.0,3.75,Brought boyfriend.
21,11,2023-03-11,12:00:00,13:00:00,3,15.0,0.0,"First visit, walk-in."
22,1,2023-03-18,11:00:00,12:30:00,2,15.0,6.0,
23,6,2023-04-01,14:00:00,15:30:00,1,15.0,1.5,First visit as basic member.
24,5,2023-04-08,10:00:00,12:00:00,2,15.0,3.75,Photo session with multiple cats.
25,1,2023-04-15,13:00:00,14:30:00,3,15.0,6.0,
26,2,2023-04-22,11:00:00,12:30:00,2,15.0,6.0,
27,3,2023-05-06,14:00:00,16:00:00,1,15.0,3.75,
28,11,2023-05-13,12:00:00,13:30:00,3,15.0,0.0,
29,1,2023-05-20,10:00:00,11:30:00,2,15.0,6.0,
30,7,2023-06-17,14:00:00,15:00:00,3,15.0,1.5,First visit.
31,6,2023-06-24,11:00:00,12:30:00,2,15.0,1.5,
32,1,2023-07-01,13:00:00,14:30:00,1,15.0,6.0,
33,5,2023-07-08,10:00:00,12:00:00,2,15.0,3.75,
34,12,2023-07-22,15:00:00,16:30:00,3,15.0,0.0,"First visit, very enthusiastic."
35,3,2023-07-29,14:00:00,15:30:00,2,15.0,3.75,
36,1,2023-08-05,11:00:00,12:30:00,1,15.0,6.0,
37,8,2023-09-02,13:00:00,14:30:00,3,15.0,1.5,First visit as basic member.
38,6,2023-09-09,10:00:00,11:30:00,2,15.0,1.5,
39,1,2023-09-16,14:00:00,15:30:00,1,15.0,6.0,
40,12,2023-09-23,11:00:00,13:00:00,2,15.0,0.0,
41,7,2023-10-07,14:00:00,15:00:00,3,15.0,1.5,
42,5,2023-10-14,10:00:00,11:30:00,2,15.0,3.75,
43,1,2023-10-21,13:00:00,14:30:00,1,15.0,6.0,
44,3,2023-10-28,15:00:00,16:30:00,3,15.0,3.75,Halloween event visit.
45,8,2023-11-04,11:00:00,12:30:00,2,15.0,1.5,
46,13,2023-11-18,14:00:00,15:30:00,1,15.0,0.0,First visit.
47,1,2023-11-25,10:00:00,11:30:00,2,15.0,6.0,Post-Thanksgiving visit.
48,6,2023-12-02,13:00:00,14:30:00,3,15.0,1.5,
49,12,2023-12-09,14:00:00,15:30:00,2,15.0,0.0,
50,5,2023-12-16,11:00:00,12:30:00,1,15.0,3.75,
51,1,2023-12-23,10:00:00,11:00:00,2,15.0,6.0,Quick holiday visit.
52,9,2024-01-13,14:00:00,15:30:00,3,15.0,1.5,First visit as basic member.
53,1,2024-01-20,11:00:00,12:30:00,2,15.0,6.0,
54,8,2024-01-27,13:00:00,14:30:00,1,15.0,1.5,
55,6,2024-02-03,10:00:00,11:30:00,2,15.0,1.5,
56,5,2024-02-10,14:00:00,16:00:00,3,15.0,3.75,Valentine week special.
57,14,2024-02-28,15:00:00,16:30:00,2,15.0,0.0,First visit.
58,1,2024-03-02,11:00:00,12:30:00,1,15.0,6.0,
59,3,2024-03-09,14:00:00,15:30:00,3,15.0,3.75,
60,9,2024-03-16,10:00:00,12:00:00,2,15.0,1.5,Worked from cafe.
61,12,2024-03-23,13:00:00,14:30:00,1,15.0,0.0,
62,7,2024-03-30,14:00:00,15:30:00,3,15.0,1.5,
63,1,2024-04-06,11:00:00,12:30:00,2,15.0,6.0,
64,6,2024-04-13,10:00:00,11:30:00,1,15.0,1.5,
65,8,2024-04-20,14:00:00,15:30:00,3,15.0,1.5,
66,5,2024-04-27,13:00:00,14:30:00,2,15.0,3.75,
67,10,2024-05-04,11:00:00,12:30:00,1,15.0,1.5,First visit.
68,1,2024-05-11,14:00:00,15:30:00,3,15.0,6.0,Mother Day weekend.
69,3,2024-05-18,10:00:00,12:00:00,2,15.0,3.75,
70,10,2024-05-25,13:00:00,14:30:00,1,15.0,1.5,Photo session.
71,9,2024-06-01,14:00:00,15:30:00,3,15.0,1.5,
72,15,2024-06-08,11:00:00,13:00:00,2,15.0,0.0,First visit. Loves Pumpkin!
73,1,2024-06-15,10:00:00,11:30:00,1,15.0,6.0,Anniversary visit - 2 years!
74,6,2024-06-22,14:00:00,15:30:00,3,15.0,1.5,
75,15,2024-06-29,13:00:00,14:30:00,2,15.0,0.0,
76,12,2024-07-06,11:00:00,12:30:00,1,15.0,0.0,
77,8,2024-07-13,14:00:00,16:00:00,3,15.0,1.5,
78,15,2024-07-20,10:00:00,12:00:00,2,15.0,0.0,Adopted Pumpkin today!
79,1,2024-07-27,13:00:00,14:30:00,1,15.0,6.0,
80,16,2024-08-03,14:00:00,15:30:00,3,15.0,15.0,"Tourist, first visit."
81,5,2024-08-10,11:00:00,12:30:00,2,15.0,3.75,
82,9,2024-08-17,10:00:00,11:30:00,1,15.0,1.5,
83,3,2024-08-24,14:00:00,15:30:00,3,15.0,3.75,
84,7,2024-08-31,13:00:00,14:30:00,2,15.0,1.5,
85,17,2024-09-07,11:00:00,12:30:00,1,15.0,15.0,First visit.
86,1,2024-09-14,14:00:00,15:30:00,3,15.0,6.0,
87,10,2024-09-21,10:00:00,12:00:00,2,15.0,1.5,Photographed Nugget.
88,6,2024-09-28,13:00:00,14:30:00,1,15.0,1.5,
89,8,2024-10-05,14:00:00,15:30:00,3,15.0,1.5,
90,12,2024-10-12,11:00:00,12:30:00,2,15.0,0.0,
91,5,2024-10-19,10:00:00,11:30:00,1,15.0,3.75,
92,1,2024-10-26,14:00:00,16:00:00,3,15.0,6.0,Halloween event.
93,18,2024-11-02,13:00:00,14:30:00,2,15.0,15.0,First visit. Referred by friend.
